,id,steps,average heartrate,average stress,average sleep start,duration,average midsleep,average awake time,type,exams period,weekend
154,215,3335.0,83.63636363636364,30.181818181818183,23:23,8.794,03:47,08:13,Morning,No,Yes
155,215,2969.3333333333335,88.33333333333333,37.0,00:15,8.34,04:36,08:36,Morning,Yes,Yes
156,216,8415.12,82.28,38.76,00:33,7.626666666666667,04:23,08:10,Morning,No,No
157,216,7980.75,86.75,45.0,23:30,6.775,03:00,06:00,Morning,Yes,Yes
158,216,9957.416666666666,84.83333333333333,43.25,01:00,7.699999999999999,05:00,08:48,Morning,No,Yes
159,216,5902.333333333333,83.41666666666667,42.25,23:43,7.2272727272727275,03:21,06:59,Morning,Yes,No
160,217,12031.703703703704,79.81481481481481,30.703703703703702,23:49,6.315833333333333,03:04,06:19,Morning,No,No
161,217,13570.181818181818,82.72727272727273,33.81818181818182,23:54,6.433,03:11,06:17,Morning,No,Yes
162,217,6210.6,77.33333333333333,30.4,23:44,7.180833333333333,03:15,06:50,Morning,Yes,No
163,217,7083.0,78.16666666666667,30.166666666666668,00:12,7.523999999999999,04:00,07:36,Morning,Yes,Yes
164,218,6575.0,62.5,20.25,22:44,9.4,02:58,07:30,Morning,No,Yes
165,218,1888.3333333333333,66.0,25.333333333333332,23:00,8.524999999999999,03:00,08:00,Morning,Yes,No
166,218,3724.0,63.666666666666664,27.333333333333332,23:00,8.425,03:00,07:00,Morning,Yes,Yes
167,218,7323.133333333333,61.5,23.0,22:10,9.345454545454546,02:54,07:37,Morning,No,No
168,219,2489.6666666666665,79.83333333333333,33.166666666666664,23:15,8.14,03:15,07:15,Morning,Yes,Yes
169,219,9144.181818181818,78.9090909090909,24.545454545454547,23:12,8.298,03:24,07:42,Morning,No,Yes
170,219,9315.8,78.13333333333334,25.233333333333334,22:47,8.070689655172414,02:55,06:53,Morning,No,No
171,219,4098.5,81.78571428571429,33.42857142857143,22:41,7.770769230769231,02:22,06:27,Morning,Yes,No
172,220,5931.0,83.83333333333333,27.833333333333332,23:00,6.386666666666667,02:00,05:16,Morning,Yes,Yes
173,220,5896.518518518518,87.11111111111111,30.0,22:18,8.354615384615384,02:22,06:27,Morning,No,No
174,220,4152.411764705882,85.82352941176471,32.705882352941174,22:19,7.688461538461539,02:06,06:06,Morning,Yes,No
175,220,9597.0,86.66666666666667,27.333333333333332,00:29,7.725,04:00,07:30,Morning,No,Yes
176,221,2338.75,76.25,32.8125,23:35,7.802666666666666,03:12,07:24,Morning,Yes,No
177,221,5456.433333333333,75.06666666666666,32.63333333333333,23:12,7.556551724137932,03:01,06:49,Morning,No,No
178,221,3064.6363636363635,74.63636363636364,30.545454545454547,23:17,8.306363636363637,03:22,07:39,Morning,No,Yes
179,221,2763.3333333333335,72.83333333333333,29.333333333333332,22:00,9.1,02:49,07:30,Morning,Yes,Yes
180,222,9722.333333333334,80.0,21.333333333333332,00:20,6.956666666666666,03:40,07:19,Morning,Yes,Yes
181,222,8057.692307692308,83.6923076923077,28.46153846153846,23:24,7.420999999999999,03:00,06:41,Morning,Yes,No
182,222,7610.875,78.5,28.75,22:15,8.825,02:30,06:45,Morning,No,Yes
183,222,7992.074074074074,77.96,26.76,22:34,7.817142857142857,02:31,06:22,Morning,No,No
184,223,2218.5,89.16666666666667,58.666666666666664,20:58,9.351666666666667,01:29,06:10,Morning,Yes,Yes
185,223,2957.5,90.91666666666667,45.416666666666664,21:23,9.089166666666667,01:44,06:30,Morning,No,Yes
186,223,3359.9655172413795,94.34482758620689,49.241379310344826,20:44,8.866666666666667,01:08,05:35,Morning,No,No
187,223,1959.375,84.375,53.5,20:32,9.185,01:03,05:41,Morning,Yes,No
188,224,9071.333333333334,84.3913043478261,28.17391304347826,23:04,7.927692307692308,03:18,07:09,Morning,No,No
189,224,5827.6875,80.75,30.125,22:33,7.836666666666666,02:21,06:19,Morning,Yes,No
190,224,8104.0,86.28571428571429,33.142857142857146,22:39,8.42,02:39,06:58,Morning,No,Yes
191,224,8588.5,81.66666666666667,30.0,23:00,8.05,03:00,07:00,Morning,Yes,Yes
192,225,8597.4375,78.6875,22.875,22:52,8.01625,02:56,07:00,Morning,Yes,No
193,225,14570.72,80.32,21.4,23:10,7.583333333333333,02:58,07:01,Morning,No,No
194,225,16577.75,82.83333333333333,24.25,01:13,6.9911111111111115,04:59,08:20,Morning,No,Yes
195,225,8458.833333333334,81.0,24.0,00:25,7.258,04:36,07:48,Morning,Yes,Yes
196,227,3760.1666666666665,70.66666666666667,29.666666666666668,00:22,8.594,04:47,09:11,Morning,Yes,Yes
197,227,4795.25,69.83333333333333,27.833333333333332,00:55,8.430833333333334,05:06,09:17,Morning,No,Yes
198,227,6432.733333333334,70.96666666666667,30.0,23:29,8.363214285714287,03:49,07:59,Morning,No,No
199,227,4951.5,72.4375,31.4375,00:04,8.401333333333334,04:16,08:24,Morning,Yes,No
200,228,10100.466666666667,76.8,30.733333333333334,23:19,7.328333333333333,03:00,06:45,Morning,Yes,No
201,228,13805.727272727272,82.45454545454545,27.181818181818183,02:00,7.343333333333334,05:40,09:20,Morning,No,Yes
202,228,11852.607142857143,78.5,25.285714285714285,00:22,7.170869565217392,03:55,07:32,Morning,No,No
203,228,5689.0,73.5,27.333333333333332,22:47,7.4799999999999995,02:35,06:36,Morning,Yes,Yes
204,229,3499.5,82.66666666666667,33.666666666666664,23:40,7.953333333333333,03:40,07:40,Morning,Yes,Yes
205,229,4954.0,84.71428571428571,40.142857142857146,23:19,7.6475,03:15,06:59,Morning,Yes,No
206,229,5611.888888888889,80.0,26.375,23:58,7.095,03:31,07:05,Morning,No,Yes
207,229,6519.518518518518,80.79166666666667,32.541666666666664,22:33,7.946923076923077,02:31,06:40,Morning,No,No
